gene	IAE_mean	IBI_mean	IAE_minus_IBI
PBK	-1.3337689252713876	0.09680512473252818	-1.4305740500039157
NOD1	0.8494116371274432	-0.579456676017582	1.428868313145025
IKBKE	1.0909987149820473	-0.33516850439307877	1.426167219375126
ICOS	1.7253131686748209	0.3029492544448432	1.4223639142299778
C8A	0.7479093487100075	2.1616417909861774	-1.41373244227617
TREM1	2.1672121654225203	0.7540956972060266	1.4131164682164936
IRF4	1.1954469660388023	-0.20637581393927032	1.4018227799780727
PRKCE	1.3429559090981886	-0.0534743526287057	1.3964302617268944
IL16	2.015441942729345	0.6208815477028261	1.3945603950265189
ITGAM	2.327033087390597	0.9343972212363146	1.3926358661542824
MS4A2	2.50927492011777	1.1212688267068556	1.3880060934109144
CEBPB	1.1843073213838642	-0.20135629927156673	1.385663620655431
PDGFRB	1.3734764261322538	-0.011999619043961	1.385476045176215
CD99	1.4263623203042122	0.04164856250027227	1.38471375780394
CLEC7A	2.7115978573399735	1.3300468495876079	1.3815510077523656
LYN	1.5404366770323952	0.1631137952164261	1.377322881815969
IFNL2	0.29080812057504046	1.6661978795084227	-1.3753897589333821
S100A7	-0.45961798667582665	0.9152140751655161	-1.3748320618413428
PECAM1	1.959263636869089	0.5856003315416366	1.3736633053274523
STAT3	1.9200585702963338	0.5468425400181841	1.3732160302781495
ENTPD1	2.0769762636038918	0.7049629749908671	1.3720132886130245
HLA-DRB3	1.8776965726367512	0.5073075515772391	1.3703890210595122
ICAM2	1.8383467399930538	0.4683751560223348	1.369971583970719
MAP3K1	0.3430285631974787	-1.02415330904413	1.3671818722416087
SIGLEC1	2.488821244929105	1.1232551226342096	1.3655661222948956
LILRA1	1.8313094886214845	0.47326282679840354	1.3580466618230809
S100A8	2.2178730787824064	0.8600187589446705	1.357854319837736
SPP1	1.6139524037455122	0.25817382498622116	1.355778578759291
TLR4	2.465180401242529	1.1138955423844838	1.3512848588580453
AICDA	0.9333830321709533	2.2796588156992574	-1.3462757835283041
ITGB1	0.5546746377337721	1.8962571956678003	-1.3415825579340281
OSM	1.7260408929061293	0.3856716022443829	1.3403692906617464
EGR1	2.1847567936028613	0.8446162605923183	1.3401405330105431
TNFRSF1B	2.240328552603364	0.9009291407260579	1.3393994118773058
IL18	0.2801126207135609	1.6189777909596155	-1.3388651702460546
F13A1	1.0521754085533446	-0.28212418860126437	1.334299597154609
FN1	-0.1470291504343361	1.1823757208149117	-1.3294048712492479
IRF3	0.910042924987885	-0.4191544380477292	1.3291973630356142
BCL2	0.9289100277733351	-0.3916935704108118	1.3206035981841469
MAPK14	0.7913912503347251	-0.5273402770856008	1.318731527420326
EGR2	2.371902758724767	1.0541377512562706	1.3177650074684963
SPN	1.3911719238795985	0.0760533511240619	1.3151185727555366
PSMB10	0.8553330487995623	-0.45968036699492076	1.315013415794483
C3	1.6393911974872204	0.32491608699253743	1.314475110494683
CD1A	0.5028397209825819	1.816717735057856	-1.3138780140752742
CCL27	0.5191820289592455	1.8264487802319813	-1.3072667512727358
STAT1	1.425564232075997	0.11890374188556503	1.306660490190432
IL3	-0.02006957871280854	1.2863849267444587	-1.3064545054572672
COL3A1	1.837558339657272	0.5363557885292435	1.3012025511280285
CCL22	1.7122149915599656	0.41859330536103184	1.2936216861989338
MAP4K2	1.367843721197738	0.07604391519155085	1.291799806006187
ATG10	1.1366329993934412	-0.14786024315244428	1.2844932425458855
CYLD	2.3514457754097258	1.0787836022051478	1.272662173204578
PTGS2	1.8525884346050807	0.5838868769752985	1.2687015576297822
LAMP2	1.524477855481687	0.2576722526989399	1.266805602782747
IL1RN	2.2062134485992972	0.9407728519045119	1.2654405966947855
MAGEB2	0.5449071581267328	1.8048781337121698	-1.259970975585437
CD160	-0.0022183040249652286	1.2509345123155027	-1.253152816340468
C6	0.4355884610648321	1.6852786815194796	-1.2496902204546474
NFATC2	0.4759062228731023	-0.7732845964855001	1.2491908193586023
CD200	1.5056564560825645	0.2598096975616027	1.2458467585209618
IL11	1.4502066027453586	0.2045244765679676	1.245682126177391
CD44	1.708724458388018	0.4636722167441321	1.2450522416438858
C1QA	1.9011511571456965	0.6563913932393456	1.2447597639063508
CCL4	2.087900021180449	0.8435531320971719	1.244346889083277
CASP8	1.437827849001957	0.19730135340437563	1.2405264955975812
IL23R	0.6943644792978194	1.9345354739476852	-1.2401709946498658
SYK	0.33078095286329245	-0.9078870473350092	1.2386680001983017
